userId,movieId,rating
001,001,2
001,002,5
001,015,4
001,032,2
001,034,3
002,001,1
002,010,4
002,001,4
002,034,2
002,047,5
003,024,4
003,017,5
003,021,2
003,015,2
034,021,5
030,032,5
014,009,1
036,024,3
034,044,2
002,019,2
043,047,3
032,004,3
029,035,2
018,013,3
039,031,2
038,038,3
046,047,2
038,041,1
027,023,5
014,038,3
038,041,2
047,024,2
007,029,4
010,035,2
047,046,2
010,040,1
021,043,3
044,009,2
023,044,1
020,009,1
026,005,1
003,047,3
009,032,2
039,003,1
027,003,1
032,014,1
029,028,2
009,033,3
027,002,3
043,046,5
022,002,4
010,008,4
002,006,2
046,020,3
037,028,3
010,001,2
007,046,3
029,042,4
004,020,3
020,004,4
037,017,4
006,047,4
046,029,5
018,032,3
013,014,2
025,045,5
003,022,4
021,037,2
035,029,1
041,008,4
025,024,3
036,009,1
050,044,1
021,008,3
004,003,3
030,007,3
014,042,2
021,011,3
047,011,2
015,039,5
015,018,3
034,026,4
044,015,2
026,047,5
003,008,1
020,030,2
013,039,5
018,028,3
019,034,3
039,008,4
037,032,2
041,047,4
029,004,4
026,042,4
010,027,2
014,016,4
020,044,2
031,046,5
018,031,4
016,001,3
008,036,4
027,045,4
047,047,4
037,014,2
005,023,3
039,022,4
031,030,3
008,028,2
048,013,2
028,037,5
031,047,3
032,033,4
028,011,5
045,037,1
022,004,5
016,017,5
050,025,1
001,042,2
050,007,2
049,015,2
001,007,4
041,014,5
008,031,5
014,044,1
004,016,5
036,025,2
047,005,1
036,035,1
026,002,1
018,019,5
024,018,4
026,044,5
031,014,4
032,028,5
039,002,3
006,004,3
003,034,1
004,036,4
036,033,2
050,011,1
038,012,1
015,015,1
032,028,2
025,012,4
008,047,3
041,009,4
050,014,4
047,012,1
022,039,5
047,016,3
009,021,3
049,045,2
006,029,2
014,043,2
040,034,3
026,011,1
021,021,1
047,005,5
020,045,5
040,016,5
033,042,2
008,002,1
023,018,5
015,027,3
047,020,2
049,005,3
024,005,1
019,020,1
016,036,4
037,023,1
012,019,5
024,042,3
001,003,1
048,037,2
048,037,5
006,013,3
046,022,2
046,024,1
029,013,5
019,008,4
022,014,2
044,003,3
022,010,3
033,013,2
015,047,4
038,027,5
037,035,3
030,009,4
034,045,1
047,032,4
030,003,4
044,002,2
027,009,4
023,025,3
049,033,2
039,015,2
030,025,3
026,005,1
031,021,5
019,029,1
045,046,4
006,003,3
008,024,1
007,008,1
032,024,1
011,007,5
048,045,3
025,019,4
049,015,3
035,036,3
008,046,4
002,028,1
035,016,1
033,008,3
001,017,5
035,034,3
037,023,5
004,037,3
020,031,4
001,014,4
049,023,4
043,013,2
021,031,1
039,036,1
026,008,4
008,013,2
042,021,5
021,040,3
032,019,1
027,028,2
039,026,5
038,036,2
012,016,2
019,030,2
043,024,5
029,001,3
036,017,1
024,044,2
005,034,3
009,017,1
012,031,4
044,046,2
040,008,3
044,023,4
050,011,1
044,014,5
019,006,1
027,023,1
030,022,3
037,014,3
025,001,1
008,026,3
032,042,1
018,044,4
050,023,4
016,017,2
040,041,4
020,024,3
039,033,1
036,019,2
030,030,2
002,002,1
039,037,2
049,023,5
007,042,1
024,047,2
034,037,3
019,043,3
023,005,2
034,010,1
002,043,2
023,017,2
014,001,4
036,035,5
006,004,2
032,009,5
002,013,1
002,015,3
001,019,2
031,035,4
031,033,5
026,037,2
012,047,5
046,008,4
038,025,3
046,019,5
012,024,2
009,028,5
040,025,5
023,036,1
021,038,1
007,008,3
048,012,1
019,029,2
049,009,5
014,030,5
050,037,5
029,043,5
037,011,4
021,003,3